trait.n.01	94	a distinguishing feature of your personal nature
ill_health.n.01	94	a state in which you are unable to function normally and without pain
pathological_state.n.01	94	a physical condition that is caused by disease
instrument.n.01	94	a device that requires skill for proper use
mechanism.n.05	93	device consisting of a piece of machinery; has moving parts that perform some function
psychological_state.n.01	93	(psychology) a mental condition in which the qualities of a state are relatively constant even though the state itself may be dynamic
capitalist.n.02	91	a person who invests capital in a business (especially a large business)
leader.n.01	89	a person who rules or guides or inspires others
evidence.n.01	88	your basis for belief or disbelief; knowledge on which to base belief
drug.n.01	87	a substance that is used as a medicine or narcotic
employee.n.01	86	a worker who is hired to perform a job
solid.n.03	86	a three-dimensional shape
collection.n.01	86	several things grouped together or considered as a whole
consumer_goods.n.01	85	goods (as food or clothing) intended for direct use or consumption
music.n.01	84	an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
representation.n.02	84	a creation that is a visual or tangible rendering of someone or something
speech.n.02	82	(language) communication by word of mouth
approval.n.04	80	a message expressing a favorable opinion
entertainer.n.01	80	a person who tries to please or amuse
businessperson.n.01	79	a capitalist who engages in industrial commercial enterprise
articulator.n.01	78	someone who pronounces words
machine.n.01	78	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
symbol.n.01	78	an arbitrary sign (written or printed) that has acquired a conventional significance
restraint.n.06	78	a device that retards something's motion
outgo.n.01	77	money paid out; an amount spent
adult.n.01	77	a fully developed person from maturity onward
cost.n.01	76	the total spent for goods or services including money and time and labor
speaker.n.01	76	someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
expert.n.01	76	a person with special knowledge or ability who performs skillfully
vertebrate.n.01	74	animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
chordate.n.01	74	any animal of the phylum Chordata having a notochord or spinal column
legal_document.n.01	74	(law) a document that states some contractual relationship or grants some right
assets.n.01	73	anything of material value or usefulness that is owned by a person or company
fundamental_quantity.n.01	73	one of the four quantities that are the basis of systems of measurement
appearance.n.01	72	outward or visible aspect of a person or thing
expressive_style.n.01	71	a way of expressing something (in language or art or music etc.) that is characteristic of a particular person or group of people or period
indication.n.01	71	something that serves to indicate or suggest
performer.n.01	71	an entertainer who performs a dramatic or musical work for an audience
visual_property.n.01	71	an attribute of vision
symptom.n.01	71	(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
region.n.01	70	the extended spatial location of something
athlete.n.01	70	a person trained to compete in sports
point.n.02	70	the precise location of something; a spatially limited location
information.n.01	69	a message received and understood
region.n.03	69	a large indefinite location on the surface of the Earth
criminal.n.01	66	someone who has committed a crime or has been legally convicted of a crime
principal.n.05	66	(criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement
user.n.01	66	a person who makes use of a thing; someone who uses or employs something
clothing.n.01	66	a covering designed to be worn on a person's body
workman.n.01	64	an employee who performs manual or industrial labor
belief.n.01	64	any cognitive content held as true
intellectual.n.01	64	a person who uses the mind creatively
consumer.n.01	63	a person who uses goods or services
explanation.n.01	62	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
part.n.02	62	something less than the whole of a human artifact
way.n.06	61	any artifact consisting of a road or path affording passage from one place to another
deceiver.n.01	60	someone who leads you to believe something that is not true
reasoning.n.01	60	thinking that is coherent and logical
unfortunate.n.01	59	a person who suffers misfortune
perception.n.03	59	the process of perceiving
solid.n.01	59	matter that is solid at room temperature and pressure
mechanical_device.n.01	58	mechanism consisting of a device that works on mechanical principles
time_period.n.01	58	an amount of time
gathering.n.01	58	a group of persons together in one place
position.n.07	58	the spatial property of a place where or way in which something is situated
perceiver.n.01	57	a person who becomes aware (of things or events) through the senses
magnitude.n.01	56	the property of relative size or extent (whether large or small)
extremity.n.04	56	the outermost or farthest region or point
status.n.01	56	the relative position or standing of things or especially persons in a society
foodstuff.n.02	56	a substance that can be used or prepared for use as food
covering.n.01	55	a natural object that covers or envelops
product.n.02	54	an artifact that has been created by someone or some process
faculty.n.01	54	one of the inherent cognitive or perceptual powers of the mind
concave_shape.n.01	54	a shape that curves or bends inward
craft.n.02	53	a vehicle designed for navigation in or on water or air or through outer space
language_unit.n.01	53	one of the natural units into which linguistic messages can be analyzed
definite_quantity.n.01	53	a specific measure of amount
visual_communication.n.01	52	communication that relies on vision
nonworker.n.01	52	a person who does nothing
fastener.n.02	52	restraint that attaches to something or holds something in place
writing.n.04	51	letters or symbols that are written or imprinted on a surface to represent the sounds or words of a language
cry.n.01	50	a loud utterance; often in protest or opposition
payment.n.01	50	a sum of money paid or a claim discharged
obstruction.n.01	50	any structure that makes progress difficult
injury.n.01	49	any physical damage to the body caused by violence or accident or fracture etc.
evidence.n.02	48	an indication that makes something evident
player.n.01	48	a person who participates in or is skilled at some game
nutriment.n.01	47	a source of materials to nourish the body
design.n.04	47	a decorative or artistic work
laborer.n.01	46	someone who works with their hands; someone engaged in manual labor
attitude.n.01	46	a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
hand_tool.n.01	46	a tool used with workers' hands
disrespect.n.01	45	an expression of lack of respect
advocate.n.01	45	a person who pleads for a cause or propounds an idea
idler.n.01	45	person who does no work
cognitive_state.n.01	45	the state of a person's cognitive processes
fluid.n.01	45	a substance that is fluid at room temperature and pressure
situation.n.01	44	the general state of things; the combination of circumstances at a given time; ; ; - Franklin D.Roosevelt
boundary.n.01	44	the line or plane indicating the limit or extent of something
negotiator.n.01	44	someone who negotiates (confers with others in order to reach a settlement)
connection.n.03	44	an instrumentality that connects
assistant.n.01	43	a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
work.n.02	43	a product produced or accomplished through the effort or activity or agency of a person or thing
good_person.n.01	42	a person who is good to other people
protective_covering.n.01	42	a covering that is intend to protect from damage or injury
representation.n.01	42	a presentation to the mind in the form of an idea or image
small_indefinite_quantity.n.01	42	an indefinite quantity that is below average size or magnitude
disputant.n.01	41	a person who disputes; who is good at or enjoys controversy
arrangement.n.02	41	an orderly grouping (of things or persons) considered as a unit; the result of arranging
surface.n.01	41	the outer boundary of an artifact or a material layer constituting or resembling such a boundary
plan.n.01	41	a series of steps to be carried out or goals to be accomplished
problem_solving.n.02	41	the thought processes involved in solving a problem
plant_part.n.01	41	any part of a plant or fungus
mixture.n.01	41	(chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)
chemical_element.n.01	41	any of the more than 100 known substances (of which 92 occur naturally) that cannot be separated into simpler substances and that singly or in combination constitute all matter
fabric.n.01	41	artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
disapproval.n.02	40	the expression of disapproval
amorphous_shape.n.01	40	an ill-defined or arbitrary shape
preserver.n.03	40	someone who keeps safe from harm or danger
depression.n.08	40	a concavity in a surface produced by pressing
number.n.02	40	a concept of quantity involving zero and units
structure.n.04	39	a particular complex anatomical part of a living thing
temporal_property.n.01	39	a property relating to time
furnishing.n.02	39	(usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable
round_shape.n.01	39	a shape that is curved and without sharp angles
space.n.02	39	an empty area (usually bounded in some way between things)
benefactor.n.01	39	a person who helps people or institutions (especially with financial help)
defender.n.01	39	a person who cares for persons or property
coating.n.01	39	a thin layer covering something
point.n.06	38	an instant of time
sensation.n.01	38	an unelaborated elementary awareness of stimulation
color.n.01	38	a visual attribute of things that results from the light they emit or transmit or reflect
food.n.02	38	any solid substance (as opposed to liquid) that is used as a source of nourishment
physical_property.n.01	38	any property used to characterize matter and energy and their interactions
peer.n.01	37	a person who is of equal standing with another in a group
pedestrian.n.01	37	a person who travels by foot
consideration.n.01	37	the process of giving careful thought to something
placement.n.01	37	the spatial property of the way in which something is placed
liquid.n.01	37	a substance that is liquid at room temperature and pressure
area.n.05	36	a part of a structure having some specific characteristic or function
standing.n.01	36	social or financial or professional status or reputation
plant_organ.n.01	36	a functional and structural unit of a plant or fungus
needlework.n.01	36	a creation created or assembled by needle and thread
vessel.n.02	35	a craft designed for water transportation
wheeled_vehicle.n.01	35	a vehicle that moves on wheels and usually has a container for transporting things or people
publication.n.01	35	a copy of a printed work offered for distribution
discussion.n.02	35	an exchange of views on some topic
sound_property.n.01	35	an attribute of sound
mover.n.03	35	someone who moves
placental.n.01	35	mammals having a placenta; all mammals except monotremes and marsupials
mammal.n.01	35	any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
artist.n.01	34	a person whose creative work shows sensitivity and imagination
acquirer.n.01	34	a person who acquires something (usually permanently)
declaration.n.01	34	a statement that is emphatic and explicit (spoken or written)
professional.n.01	34	a person engaged in one of the learned professions
geographical_area.n.01	33	a demarcated area of the Earth
stimulation.n.02	33	any stimulating information or event; acts to arouse action
classification.n.03	33	the basic cognitive process of arranging into classes or categories
desire.n.01	33	the feeling that accompanies an unsatisfied state
fluid.n.02	33	continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas
pain.n.01	32	a symptom of some physical hurt or disorder
drug_of_abuse.n.01	32	a drug that is taken for nonmedicinal reasons (usually for mind-altering effects); drug abuse can lead to physical and mental damage and (with some substances) dependence and addiction
support.n.10	32	any device that bears the weight of another thing
written_symbol.n.01	32	a written or printed symbol
official.n.01	31	a worker who holds or is invested with an office
organ.n.01	31	a fully differentiated structural and functional unit in an animal that is specialized for some particular function
unit.n.03	31	an organization regarded as part of a larger social group
geological_formation.n.01	31	(geology) the geological features of the earth
cutter.n.06	31	a cutting implement; a tool for cutting
cutting_implement.n.01	31	a tool used for cutting or slicing
building_material.n.01	31	material used for constructing buildings
merchant.n.01	30	a businessperson engaged in retail trade
supporting_structure.n.01	30	a structure that serves to support something
gesture.n.02	30	the use of movements (especially of the hands) to communicate familiar or prearranged signals
sum.n.01	30	a quantity of money
furniture.n.01	30	furnishings that make a room or other area ready for occupancy
serviceman.n.01	30	someone who serves in the armed forces; a member of a military force
apparatus.n.01	30	equipment designed to serve a specific function
flavorer.n.01	30	something added to food primarily for the savor it imparts
ingredient.n.03	30	food that is a component of a mixture in cooking
maker.n.01	30	a person who makes things
line.n.04	29	a length (straight or curved) without breadth or thickness; the trace of a moving point
bird.n.01	29	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
record.n.01	29	anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
knowing.n.01	29	a clear and certain mental apprehension
attacker.n.01	29	someone who attacks
thinker.n.02	29	someone who exercises the mind (usually in an effort to reach a decision)
blemish.n.01	29	a mark or flaw that spoils the appearance of something (especially on a person's body)
edge_tool.n.01	29	any cutting tool with a sharp cutting edge (as a chisel or knife or plane or gouge)
sense.n.03	29	the faculty through which the external world is apprehended
marking.n.02	29	a pattern of marks
representational_process.n.01	29	any basic cognitive process in which some entity comes to stand for or represent something else
craftsman.n.03	29	a skilled worker who practices some trade or handicraft
vessel.n.03	28	an object used as a container (especially for liquids)
recipient.n.01	28	a person who receives something
agreement.n.01	28	the statement (oral or written) of an exchange of promises
authority.n.03	28	an expert whose views are taken as definitive
external_body_part.n.01	28	any body part visible externally
line.n.18	28	something (as a cord or rope) that is long and thin and flexible
copy.n.02	28	a thing made to be similar or identical to another thing
framework.n.03	27	a structure supporting or containing something
criticism.n.01	27	disapproval expressed by pointing out faults or shortcomings
interpretation.n.03	27	an explanation that results from interpreting something
supporter.n.01	27	a person who backs a politician or a team etc.
plan_of_action.n.01	27	a plan for actively doing something
acknowledgment.n.03	27	a statement acknowledging something or someone
time_interval.n.01	27	a definite length of time marked off by two instants
medicine.n.02	27	(medicine) something that treats or prevents or alleviates the symptoms of disease
beverage.n.01	27	any liquid suitable for drinking
art.n.01	27	the products of human creativity; works of art collectively
thief.n.01	27	a criminal who takes property belonging to someone else with the intention of keeping it or selling it
agent.n.01	27	an active and efficient cause; capable of producing a certain effect
sewing.n.02	27	needlework on which you are working with needle and thread
disposition.n.01	26	your usual mood
nature.n.04	26	the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions
falsehood.n.01	26	a false statement
list.n.01	26	a database containing an ordered array of items (names or topics)
database.n.01	26	an organized body of related information
financial_gain.n.01	26	the amount of monetary gain
gain.n.04	26	the amount by which the revenue of a business exceeds its cost of operating
musician.n.01	26	someone who plays a musical instrument (as a profession)
coloring_material.n.01	26	any material used for its color
encouragement.n.01	26	the expression of approval and support
spectator.n.01	26	a close observer; someone who looks at something (such as an exhibition of some kind)
barrier.n.01	26	a structure or object that impedes free movement
area.n.01	26	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
figure.n.06	26	a combination of points and lines and planes that form a visible palpable shape
junction.n.04	26	something that joins or connects
passage.n.03	25	a way through or along which someone or something may pass
unskilled_person.n.01	25	a person who lacks technical training
body.n.02	25	a group of persons associated by some common tie or occupation and regarded as an entity
appraisal.n.01	25	the classification of someone or something with respect to its worth
calculation.n.02	25	problem solving that involves numbers or quantities
fear.n.01	25	an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
piece.n.01	25	a separate part of a whole
weapon.n.01	25	any instrument or instrumentality used in fighting or hunting
memory.n.02	25	the cognitive processes whereby past experience is remembered
learning.n.01	24	the cognitive process of acquiring skill or knowledge
conversation.n.01	24	the use of speech for informal exchange of views or ideas or information etc.
matter.n.06	24	written works (especially in books or magazines)
section.n.01	24	a self-contained part of a larger composition (written or musical)
being.n.01	24	the state or fact of existing
follower.n.01	24	a person who accepts the leadership of another
assertion.n.01	24	a declaration that is made emphatically (as if no supporting evidence were necessary)
tract.n.01	24	an extended area of land
reproductive_structure.n.01	24	the parts of a plant involved in its reproduction
utensil.n.01	24	an implement for practical use (especially in a household)
body_covering.n.01	24	any covering for the body or a body part
light.n.07	24	the visual effect of illumination on objects or scenes as created in pictures
adornment.n.01	24	a decoration of color or interest that is added to relieve plainness
pleading.n.01	24	(law) a statement in legal and logical form stating something on behalf of a party to a legal proceeding
writer.n.01	24	writes (books or stories or articles or the like) professionally (for pay)
building.n.01	23	a structure that has a roof and walls and stands more or less permanently in one place
people.n.01	23	(plural) any group of human beings (men or women or children) collectively
associate.n.01	23	a person who joins with others in some activity or endeavor
income.n.01	23	the financial gain (earned or unearned) accruing over a given period of time
literary_composition.n.01	23	imaginative or creative writing
inclination.n.01	23	an attitude of mind especially one that favors one alternative over others
evaluator.n.01	23	an authority who is able to estimate worth or quality
organic_compound.n.01	23	any compound of carbon and another element or a radical
waste.n.01	23	any materials unused and rejected as worthless or unwanted
discipline.n.01	23	a branch of knowledge
knowledge_domain.n.01	23	the content of a particular field of knowledge
amount.n.02	23	the relative magnitude of something with reference to a criterion
combatant.n.01	23	someone who fights (or is fighting)
sheet.n.06	23	a flat artifact that is thin relative to its length and width
bar.n.03	22	a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
institution.n.01	22	an organization founded and united for a specific purpose
manner_of_speaking.n.01	22	your characteristic style or manner of expressing yourself orally
musical_instrument.n.01	22	any of various devices or contrivances that can be used to produce musical tones or sounds
understanding.n.01	22	the cognitive condition of someone who understands
supplier.n.01	22	someone whose business is to supply a particular service or commodity
wit.n.01	22	a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
bodily_property.n.01	22	an attribute of the body
pause.n.01	22	a time interval during which there is a temporary cessation of something
cognitive_factor.n.01	22	something immaterial (as a circumstance or influence) that contributes to producing a result
power.n.01	22	possession of controlling influence
measuring_instrument.n.01	22	instrument that shows the extent or amount or quantity or degree of something
unit.n.05	22	a single undivided natural thing occurring in the composition of something else
kitchen_utensil.n.01	22	a utensil used in preparing food
brightness.n.01	22	the location of a visual perception along a continuum from black to white
joint.n.05	22	junction by which parts or objects are joined together
curve.n.01	21	the trace of a point whose direction of motion changes
conduit.n.01	21	a passage (a pipe or tunnel) through which water or electric wires can pass
facility.n.01	21	a building or place that provides a particular service or is used for a particular industry
extent.n.02	21	the distance or area or volume over which something extends
text.n.01	21	the words of something written
actor.n.01	21	a theatrical performer
electronic_equipment.n.01	21	equipment that involves the controlled conduction of electrons (especially in a gas or vacuum or semiconductor)
liking.n.01	21	a feeling of pleasure and enjoyment
inaction.n.01	21	the state of being inactive
lover.n.01	21	a person who loves someone or is loved by someone
alcohol.n.01	21	a liquor or brew containing alcohol as the active agent
social_gathering.n.01	21	a gathering for the purpose of promoting fellowship
spacing.n.02	21	the property possessed by an array of things that have space between them
illness.n.01	21	impairment of normal physiological function affecting part or all of an organism
gas.n.02	21	a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely
structure.n.03	21	the complex composition of knowledge as elements and their combinations
money_handler.n.01	21	a person who receives or invests or pays out money
cord.n.01	21	a line made of twisted fibers or threads
female.n.02	21	a person who belongs to the sex that can have babies
enterprise.n.02	20	an organization created for business ventures
road.n.01	20	an open way (generally public) for travel or transportation
relationship.n.03	20	a state involving mutual dealings between people or parties or countries
ordering.n.01	20	logical or comprehensible arrangement of separate elements
pronunciation.n.01	20	the manner in which someone utters a word
comment.n.02	20	a written explanation or criticism or illustration that is added to a book or other textual material
rebuke.n.01	20	an act or expression of criticism and censure
musical_composition.n.01	20	a musical work that has been created
magnitude_relation.n.01	20	a relation between magnitudes
opening.n.01	20	an open or empty space in or between things
fragment.n.01	20	a piece broken off or cut off of something else
convex_shape.n.01	20	a shape that curves or bulges outward
plant.n.02	20	(botany) a living organism lacking the power of locomotion
oppressor.n.01	20	a person of authority who subjects others to undue pressures
invertebrate.n.01	20	any animal lacking a backbone or notochord; the term is not used as a scientific classification
housing.n.01	20	structures collectively in which people are housed
party.n.05	19	a person involved in legal proceedings
relative.n.01	19	a person related by blood or marriage
remark.n.01	19	a statement that expresses a personal opinion or belief or adds information
originator.n.01	19	someone who creates new things
attention.n.01	19	the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
abstraction.n.01	19	a concept or idea not associated with any specific instance
net_income.n.01	19	the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
surface.n.02	19	the extended two-dimensional outer boundary of a three-dimensional object
dawdler.n.01	19	someone who takes more time than necessary; someone who lags behind
anger.n.01	19	a strong emotion; a feeling that is oriented toward some real or supposed grievance
justification.n.02	19	a statement in explanation of some action or belief
decision_making.n.01	19	the cognitive process of reaching a decision
weight.n.04	19	an artifact that is heavy
written_record.n.01	19	a written document preserving knowledge of facts or events
anxiety.n.02	19	a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune
position.n.01	19	the particular portion of space occupied by something
union.n.04	19	the state of being joined or united or linked
angular_shape.n.01	19	a shape having one or more sharp angles
component.n.03	19	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system
summary.n.01	19	a brief statement that presents the main points in a concise form
recompense.n.01	19	payment or reward (as for service rendered)
creativity.n.01	19	the ability to create
appliance.n.02	19	durable goods for home or office use
durables.n.01	19	consumer goods that are not destroyed by use
stitch.n.01	19	a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
toiletry.n.01	19	artifacts used in making your toilet (washing and taking care of your body)
line.n.11	18	a spatial location defined by a real or imaginary unidimensional extent
bellow.n.01	18	a very loud utterance (like the sound of an animal)
acquisition.n.02	18	something acquired
written_agreement.n.01	18	a legal document summarizing the agreement between parties
standard.n.01	18	a basis for comparison; a reference point against which other things can be evaluated
system_of_measurement.n.01	18	a system of related measures that facilitates the quantification of some particular characteristic
owner.n.02	18	a person who owns something
animal_material.n.01	18	material derived from animals
customer.n.01	18	someone who pays for goods or services
electrical_device.n.01	18	a device that produces or is powered by electricity
gear.n.04	18	equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
topographic_point.n.01	18	a point located with respect to surface features of some region
ungulate.n.01	18	any of a number of mammals with hooves that are superficially similar but not necessarily closely related taxonomically
biological_group.n.01	18	a group of plants or animals
opening.n.10	18	a vacant or unobstructed space that is man-made
end.n.02	18	the point in time at which something ends
contemplation.n.02	18	a calm, lengthy, intent consideration
temporal_arrangement.n.01	18	arrangement of events in time
confusion.n.02	18	a mental state characterized by a lack of clear and orderly thought and behavior
mark.n.10	18	a written or printed symbol (as for punctuation)
body_substance.n.01	18	the substance of the body
representative.n.01	18	a person who represents others
garment.n.01	18	an article of clothing
drawing.n.02	18	a representation of forms or objects on a surface by means of lines
woman.n.01	18	an adult female person (as opposed to a man)
misrepresentation.n.01	18	a misleading falsehood
pain.n.02	18	emotional distress; a fundamental feeling that people try to avoid
attendant.n.01	17	someone who waits on or tends to or attends to the needs of another
self-propelled_vehicle.n.01	17	a wheeled vehicle that carries in itself a means of propulsion
business.n.01	17	a commercial or industrial enterprise and the people who constitute it
charge.n.03	17	the price charged for some article or service
ideal.n.01	17	the idea of something that is perfect; something that one hopes to attain
proposal.n.01	17	something proposed (such as a plan or assumption)
disorder.n.01	17	a physical condition in which there is a disturbance of normal functioning
writing_style.n.01	17	a style of expressing yourself in writing
facial_expression.n.01	17	a gesture executed with the facial muscles
sphere.n.05	17	a solid figure bounded by a spherical surface (including the space it encloses)
side.n.04	17	a surface forming part of the outside of an object
entrant.n.03	17	someone who enters
excavation.n.03	17	a hole in the ground made by excavating
body_of_water.n.01	17	the part of the earth's surface covered with water (such as a river or lake or ocean)
decay.n.04	17	an inferior state resulting from the process of decaying
unsoundness.n.01	17	a condition of damage or decay
commitment.n.04	17	a message that makes a pledge
meal.n.01	17	the food served and eaten at one time
mediator.n.01	17	a negotiator who acts as a link between parties
aircraft.n.01	17	a vehicle that can fly
charge.n.02	17	(criminal law) a pleading describing some wrong or offense
vascular_plant.n.01	17	green plant having a vascular system: ferns, gymnosperms, angiosperms
side.n.05	17	an extended outer surface of an object
geographic_point.n.01	17	a point on the surface of the Earth
inquirer.n.01	17	someone who asks a question
dislike.n.02	17	a feeling of aversion or antipathy
smell.n.01	17	the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
ship.n.01	16	a vessel that carries passengers or freight
operator.n.02	16	an agent that operates some apparatus or machine
word.n.01	16	a unit of language that native speakers can identify
series.n.01	16	similar things placed in order or happening one after another
line.n.05	16	text consisting of a row of words written across a page or computer screen
gambler.n.01	16	a person who wagers money on the outcome of games or sporting events
share.n.01	16	assets belonging to or due to or contributed by an individual person or group
quantity.n.03	16	the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable
promotion.n.01	16	a message issued in behalf of some product or cause or idea or person or institution
intruder.n.01	16	someone who intrudes on the privacy or property of another without permission
meat.n.01	16	the flesh of animals (including fishes and birds and snails) used as food
enclosure.n.01	16	a structure consisting of an area that has been enclosed for some purpose
fruit.n.01	16	the ripened reproductive body of a seed plant
dominance.n.02	16	the state that exists when one person or group has power over another
shame.n.01	16	a painful emotion resulting from an awareness of inadequacy or guilt
eater.n.01	16	someone who consumes food for nourishment
wound.n.01	16	an injury to living tissue (especially an injury involving a cut or break in the skin)
animal_tissue.n.01	16	the tissue in the bodies of animals
tissue.n.01	16	part of an organism consisting of an aggregate of cells having a similar structure and function
hair.n.01	16	a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
killer.n.01	16	someone who causes the death of a person or animal
science.n.01	16	a particular branch of scientific knowledge
control.n.09	16	a mechanism that controls the operation of a machine
writ.n.01	16	(law) a legal document issued by a court or judicial officer
beauty.n.01	16	the qualities that give pleasure to the senses
